,RNN,GRU,CNN_GRU,LSTM
0,12502.84765625,11809.314453125,12077.1923828125,12502.84765625
1,1501.3701171875,836.2642211914062,1300.35986328125,1501.3701171875
2,457.8547058105469,323.723876953125,338.84771728515625,457.8547058105469
3,347.8432922363281,302.9253234863281,301.01727294921875,347.8432922363281
4,327.7799377441406,296.739501953125,292.3242492675781,327.7799377441406
5,321.491455078125,293.0277404785156,286.8274841308594,321.491455078125
6,314.7216796875,290.56414794921875,279.8250732421875,314.7216796875
7,309.1667175292969,287.60247802734375,269.67401123046875,309.1667175292969
8,304.4493713378906,285.80645751953125,239.31964111328125,304.4493713378906
9,307.6201171875,283.5026550292969,202.5067901611328,307.6201171875
10,299.2284851074219,281.55694580078125,185.1905975341797,299.2284851074219
11,300.2357177734375,279.6543273925781,177.32298278808594,300.2357177734375
12,298.0733337402344,276.9591979980469,169.97557067871094,298.0733337402344
13,296.1629638671875,274.17828369140625,165.69955444335938,296.1629638671875
14,294.5954284667969,270.5047607421875,161.0745391845703,294.5954284667969
15,294.02557373046875,268.2095642089844,161.02490234375,294.02557373046875
16,295.851318359375,258.1537170410156,155.55712890625,295.851318359375
17,291.82647705078125,249.45660400390625,153.9513397216797,291.82647705078125
18,291.7386474609375,233.84512329101562,153.52383422851562,291.7386474609375
19,290.8464050292969,214.93008422851562,150.71954345703125,290.8464050292969
