pattern,retention,seed,split,channel,unit,gap_length_samples,removed,gaps,absolute_error_sum,squared_error_sum,mae,rmse
bursty,0.6,0,all,acceleration,m/s^2,2,6,3,0.10540956797300843,0.0033360002581033117,0.01756826132883474,0.02357965315727139
bursty,0.6,0,all,acceleration,m/s^2,4,32,8,4.366211067194272,0.9929619270685143,0.136444095849821,0.1761535132232425
bursty,0.6,0,all,acceleration,m/s^2,5,40,8,4.733680377604117,1.037561442835072,0.11834200944010294,0.16105600290233454
bursty,0.6,0,all,acceleration,m/s^2,8,119296,14912,29490.609816245156,14247.867099538224,0.24720535320752712,0.3455906521247206
bursty,0.6,0,all,uplift,m,2,6,3,7.92840971089448e-06,1.3102450898022717e-11,1.3214016184824133e-06,1.4777489016531597e-06
bursty,0.6,0,all,uplift,m,4,32,8,0.0003957014436139217,6.6047217354915325e-09,1.2365670112935052e-05,1.436654287691059e-05
bursty,0.6,0,all,uplift,m,5,40,8,0.000427584435277871,8.105411455445543e-09,1.0689610881946775e-05,1.4235002156169088e-05
bursty,0.6,0,all,uplift,m,8,119296,14912,3.454543209774945,0.00017637970697473307,2.8957745521852745e-05,3.8451330096653694e-05
bursty,0.6,0,test,acceleration,m/s^2,4,8,2,0.5648625863536156,0.043007706442465946,0.07060782329420195,0.07332096088642212
bursty,0.6,0,test,acceleration,m/s^2,5,10,2,1.8087987265316674,0.4132587801794325,0.18087987265316674,0.20328767305949286
bursty,0.6,0,test,acceleration,m/s^2,8,27984,3498,7167.6146974943795,3289.756805535422,0.256132600682332,0.3428680369527676
bursty,0.6,0,test,uplift,m,4,8,2,7.362832852282619e-05,1.02168224878816e-09,9.203541065353274e-06,1.1300897358109222e-05
bursty,0.6,0,test,uplift,m,5,10,2,0.00016474876321048715,3.859159288911644e-09,1.6474876321048714e-05,1.9644743034490534e-05
bursty,0.6,0,test,uplift,m,8,27984,3498,0.7386672552284637,3.3569560358043295e-05,2.6396056862080605e-05,3.463521841571429e-05
bursty,0.6,0,train,acceleration,m/s^2,2,4,2,0.08167778695095462,0.003054318163004395,0.020419446737738656,0.02763294303455748
bursty,0.6,0,train,acceleration,m/s^2,4,16,4,1.7792212007552388,0.4073071799357858,0.11120132504720243,0.15955155513496763
bursty,0.6,0,train,acceleration,m/s^2,5,20,4,1.9018107610279014,0.47853590343180835,0.09509053805139507,0.15468288583935333
bursty,0.6,0,train,acceleration,m/s^2,8,60384,7548,15126.690624816525,7809.675572560051,0.2505082575651915,0.3596297053675874
bursty,0.6,0,train,uplift,m,2,4,2,6.871763651036811e-06,1.2543955003065597e-11,1.7179409127592027e-06,1.7708723135128629e-06
bursty,0.6,0,train,uplift,m,4,16,4,0.000184866490289759,2.8400244510952496e-09,1.1554155643109937e-05,1.3322969946429104e-05
bursty,0.6,0,train,uplift,m,5,20,4,0.00018958609265536802,3.542470279432561e-09,9.479304632768401e-06,1.3308775825432933e-05
bursty,0.6,0,train,uplift,m,8,60384,7548,1.850058260179175,0.00010122425178050175,3.063821973004728e-05,4.094315904353973e-05
bursty,0.6,0,validation,acceleration,m/s^2,2,2,1,0.02373178102205381,0.0002816820950989169,0.011865890511026905,0.011867647094072963
bursty,0.6,0,validation,acceleration,m/s^2,4,8,2,2.0221272800854178,0.5426470406902626,0.2527659100106772,0.2604436217039742
bursty,0.6,0,validation,acceleration,m/s^2,5,10,2,1.0230708900445489,0.1457667592238309,0.10230708900445488,0.12073390543829471
bursty,0.6,0,validation,acceleration,m/s^2,8,30928,3866,7196.304493934252,3148.434721442751,0.23267927101442873,0.3190593148608392
bursty,0.6,0,validation,uplift,m,2,2,1,1.0566460598576688e-06,5.58495894957119e-13,5.283230299288344e-07,5.284391615678757e-07
bursty,0.6,0,validation,uplift,m,4,8,2,0.0001372066248013365,2.7430150356081227e-09,1.7150828100167062e-05,1.8516934936727928e-05
bursty,0.6,0,validation,uplift,m,5,10,2,7.324957941201582e-05,7.037818871013378e-10,7.324957941201582e-06,8.389170919115535e-06
bursty,0.6,0,validation,uplift,m,8,30928,3866,0.8658176943673063,4.158589483618801e-05,2.7994622813221233e-05,3.666883456676974e-05
bursty,0.8,0,all,acceleration,m/s^2,1,3,3,0.0357061041318012,0.0004677270526462153,0.011902034710600399,0.012486353252600954
bursty,0.8,0,all,acceleration,m/s^2,2,14,7,0.47113308177596025,0.020753570651044273,0.03365236298399716,0.038501920778657515
