file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V300_Case1_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case1_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case1_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2784,0.016228437072209993,0.026130636740998515,2224,45.17996880903262,1.9009435313482201
V300_Case1_CutFre20.xls,train,random,0.8,0,uplift,m,2784,2.2971963925692687e-06,3.675651738470981e-06,2224,0.006395394756912844,3.761299731582889e-08
V300_Case1_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,5568,0.029822341613248343,0.05714147211963212,3345,166.05079810256677,18.180343150840734
V300_Case1_CutFre20.xls,train,random,0.6,0,uplift,m,5568,4.065332417788182e-06,7.334098515182186e-06,3345,0.022635770902244598,2.9949715773725357e-07
V300_Case1_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case1_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case1_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2784,0.15239871881987405,0.20383260687894608,348,424.27803319452937,115.66888484975446
V300_Case1_CutFre20.xls,train,bursty,0.8,0,uplift,m,2784,2.1312463976153425e-05,2.838028938640737e-05,348,0.059333899709611136,2.2423472586269355e-06
V300_Case1_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,5568,0.1497398579743829,0.20263003216552916,696,833.7515292013641,228.61612188032603
V300_Case1_CutFre20.xls,train,bursty,0.6,0,uplift,m,5568,2.139398105413716e-05,2.8756819445658668e-05,696,0.11912168650943569,4.6044835726610235e-06
V300_Case2_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case2_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case2_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2506,0.015274674415990471,0.02289568398739887,2011,38.27833408647212,1.3136761371985877
V300_Case2_CutFre20.xls,train,random,0.8,0,uplift,m,2506,2.210823837900254e-06,3.180066092845861e-06,2011,0.005540324537778037,2.5342727809299065e-08
V300_Case2_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,5012,0.027422266793543287,0.045609375455296565,3011,137.44040116923895,10.426038228664108
V300_Case2_CutFre20.xls,train,random,0.6,0,uplift,m,5012,4.095099486398464e-06,6.6208119907878235e-06,3011,0.0205246386258291,2.1970177890380743e-07
V300_Case2_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case2_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case2_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2506,0.15453557568257043,0.2065401396136307,314,387.26615266052147,106.90302615467486
V300_Case2_CutFre20.xls,train,bursty,0.8,0,uplift,m,2506,2.303598565570813e-05,2.9590881332530647e-05,314,0.05772818005320457,2.1943043666379923e-06
V300_Case2_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,5012,0.15505983816603514,0.21235119674233868,627,777.1599088881682,226.006270158612
V300_Case2_CutFre20.xls,train,bursty,0.6,0,uplift,m,5012,2.291854432525635e-05,2.9582818108363568e-05,627,0.11486774415818482,4.386217353689407e-06
V300_Case3_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case3_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case3_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,3063,0.014485746431666125,0.0227683214352498,2452,44.369841320193345,1.5878483599782345
V300_Case3_CutFre20.xls,train,random,0.8,0,uplift,m,3063,2.304895558789333e-06,3.827929417106244e-06,2452,0.007059895096571726,4.4882272615249924e-08
V300_Case3_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,6125,0.024450627225800818,0.0423288515195324,3695,149.76009175803,10.97435648464605
V300_Case3_CutFre20.xls,train,random,0.6,0,uplift,m,6125,3.923397459215491e-06,6.7295408697849755e-06,3695,0.02403080943769488,2.7738116194840123e-07
V300_Case3_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case3_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case3_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,3063,0.12877840484200312,0.17394769028085807,383,394.44825403105557,92.67963819624083
V300_Case3_CutFre20.xls,train,bursty,0.8,0,uplift,m,3063,2.113636542113652e-05,2.75656785101242e-05,383,0.06474068728494116,2.327471492969151e-06
V300_Case3_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,6125,0.13809503956621258,0.18515844881339266,766,845.832117343052,209.9873633977632
