pattern,retention,seed,split,channel,unit,removed,gaps,absolute_error_sum,squared_error_sum,mae,rmse
bursty,0.6,0,all,acceleration,m/s^2,119374,14931,29499.815117257927,14249.900958908383,0.2471209402152724,0.3455023850266617
bursty,0.6,0,all,uplift,m,119374,14931,3.455374424063548,0.0001763944302103749,2.894578739142148e-05,3.844037012667616e-05
bursty,0.6,0,test,acceleration,m/s^2,28002,3502,7169.988358807264,3290.213072022044,0.256052723334307,0.34278158776962464
bursty,0.6,0,test,uplift,m,28002,3502,0.738905632320197,3.3574441199581e-05,2.6387602039861333e-05,3.462660166305645e-05
bursty,0.6,0,train,acceleration,m/s^2,60424,7558,15130.45333456526,7810.5644699615805,0.25040469572628854,0.35953110944787964
bursty,0.6,0,train,uplift,m,60424,7558,1.850439584525771,0.00010123064681918729,3.0624248386829256e-05,4.093089773065402e-05
bursty,0.6,0,validation,acceleration,m/s^2,30948,3871,7199.373423885403,3149.12341692476,0.23262806720580984,0.31899108558604633
bursty,0.6,0,validation,uplift,m,30948,3871,0.8660292072175795,4.158934219160662e-05,2.7983365878815417e-05,3.6658503470322996e-05
bursty,0.8,0,all,acceleration,m/s^2,59689,7473,14710.555246421958,7109.257685256004,0.24645337074539628,0.3451159065400713
bursty,0.8,0,all,uplift,m,59689,7473,1.7285651443434566,8.801493098272688e-05,2.8959525948557633e-05,3.839998236141804e-05
bursty,0.8,0,test,acceleration,m/s^2,14001,1753,3591.5676811277244,1664.998857587857,0.25652222563586347,0.3448477860481464
bursty,0.8,0,test,uplift,m,14001,1753,0.36928630660233014,1.6733085169219622e-05,2.637570934949862e-05,3.457072464447461e-05
bursty,0.8,0,train,acceleration,m/s^2,30213,3783,7616.206906305289,3968.3188427909163,0.25208376878513516,0.36241515842415095
bursty,0.8,0,train,uplift,m,30213,3783,0.9332510439103083,5.123972668604824e-05,3.088905583392276e-05,4.1181909220444727e-05
bursty,0.8,0,validation,acceleration,m/s^2,15475,1937,3502.7806589889447,1475.9399848772312,0.22635093111398674,0.30882967213252327
bursty,0.8,0,validation,uplift,m,15475,1937,0.4260277938308183,2.0042119127459012e-05,2.753006745271847e-05,3.59878988164791e-05
bursty,1.0,0,all,acceleration,m/s^2,0,0,0.0,0.0,,
bursty,1.0,0,all,uplift,m,0,0,0.0,0.0,,
bursty,1.0,0,test,acceleration,m/s^2,0,0,0.0,0.0,,
bursty,1.0,0,test,uplift,m,0,0,0.0,0.0,,
bursty,1.0,0,train,acceleration,m/s^2,0,0,0.0,0.0,,
bursty,1.0,0,train,uplift,m,0,0,0.0,0.0,,
bursty,1.0,0,validation,acceleration,m/s^2,0,0,0.0,0.0,,
bursty,1.0,0,validation,uplift,m,0,0,0.0,0.0,,
random,0.6,0,all,acceleration,m/s^2,119374,71556,5677.814433735332,984.2202571702711,0.0475632418594948,0.09080113485077933
random,0.6,0,all,uplift,m,119374,71556,0.6655673459621765,1.1851919429053084e-05,5.5754799701959935e-06,9.964131993879402e-06
random,0.6,0,test,acceleration,m/s^2,28002,16803,1378.4562831884493,224.88842003953658,0.04922706532349294,0.08961671514373036
random,0.6,0,test,uplift,m,28002,16803,0.1414268980770007,2.10186147679721e-06,5.050599888472278e-06,8.663782072837965e-06
random,0.6,0,train,acceleration,m/s^2,60424,36256,2923.258025179288,560.4431649378389,0.04837908819640024,0.09630770917592148
random,0.6,0,train,uplift,m,60424,36256,0.35703020380289924,7.0018463729586995e-06,5.908748242468212e-06,1.076469063007198e-05
random,0.6,0,validation,acceleration,m/s^2,30948,18497,1376.100125367595,198.88867219289554,0.04446491293032167,0.08016572601674381
random,0.6,0,validation,uplift,m,30948,18497,0.16711024408227648,2.7482115792971747e-06,5.399710614006608e-06,9.423425218528787e-06
random,0.8,0,all,acceleration,m/s^2,59689,47682,1580.1495776826162,107.14385298934191,0.02647304491083141,0.04236785513424461
random,0.8,0,all,uplift,m,59689,47682,0.18509297713988135,1.3258030736389204e-06,3.1009562421866902e-06,4.7129448663145475e-06
random,0.8,0,test,acceleration,m/s^2,14001,11227,384.71070159499754,24.583313689021995,0.027477373158702776,0.0419025722560768
random,0.8,0,test,uplift,m,14001,11227,0.039420058667514274,2.3625701232856015e-07,2.8155173678676006e-06,4.107833440365461e-06
random,0.8,0,train,acceleration,m/s^2,30213,24175,811.9143630945853,60.668108179167014,0.02687301370584137,0.04481086227308655
random,0.8,0,train,uplift,m,30213,24175,0.09919282052808817,7.815532141047812e-07,3.2831172186836186e-06,5.086070213919991e-06
random,0.8,0,validation,acceleration,m/s^2,15475,12280,383.5245129930333,21.892431121152892,0.024783490338806675,0.03761245378701899
random,0.8,0,validation,uplift,m,15475,12280,0.04648009794427889,3.07992847205579e-07,3.00356044874177e-06,4.461233826058033e-06
random,1.0,0,all,acceleration,m/s^2,0,0,0.0,0.0,,
random,1.0,0,all,uplift,m,0,0,0.0,0.0,,
random,1.0,0,test,acceleration,m/s^2,0,0,0.0,0.0,,
random,1.0,0,test,uplift,m,0,0,0.0,0.0,,
random,1.0,0,train,acceleration,m/s^2,0,0,0.0,0.0,,
random,1.0,0,train,uplift,m,0,0,0.0,0.0,,
random,1.0,0,validation,acceleration,m/s^2,0,0,0.0,0.0,,
random,1.0,0,validation,uplift,m,0,0,0.0,0.0,,
