file,split,speed_kmh,case,cutoff,rows,distance_first_m,distance_last_m,raw_columns_exact,strictly_increasing,intervals,mean_m,std_m,min_m,max_m,median_m
V300_Case1_CutFre100.xls,train,300,1,100,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre150.xls,train,300,1,150,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre20.xls,train,300,1,20,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre200.xls,train,300,1,200,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre50.xls,train,300,1,50,17401,50.083333333333336,1500.083333333086,True,True,17400,0.08333333333331912,4.7579203218971804e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case2_CutFre100.xls,train,300,2,100,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case2_CutFre150.xls,train,300,2,150,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case2_CutFre20.xls,train,300,2,20,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case2_CutFre200.xls,train,300,2,200,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case2_CutFre50.xls,train,300,2,50,15661,45.083333333333336,1350.0833333332228,True,True,15660,0.08333333333332628,4.5047406951403714e-14,0.08333333333325754,0.08333333333337123,0.0833333333333357
V300_Case3_CutFre100.xls,train,300,3,100,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre150.xls,train,300,3,150,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre20.xls,train,300,3,20,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre200.xls,train,300,3,200,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre50.xls,train,300,3,50,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre100.xls,train,300,4,100,19141,55.083333333333336,1650.0833333329497,True,True,19140,0.08333333333331328,4.8782885236331695e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
